"action_plan_id"	"co2_target_CoM2030"	"reduction_type_CoM2030"	"emission_inventory_id"	"bei_flag"	"inventory_year"	"population_in_the_inventory_year"	"emission_measure"	"aux"	"last_mei_year"	"last_mei_population"	"last_mei_emission_measure"	"population2030"	"country"	"country_code"	"natemis_base"	"natemis.05"	"year"	"natemis_last"	"emissions.2005_fx"	"emissions.trend"	"baseline_emissions_2005"	"emis_target"	"organisation_id"	"organisation_name"
"8803"	0.28	"absolute"	"7617"	"TRUE"	2015	4938	16687.80989	"8803 2015 "	NA	NA	NA	4938	"it"	"ITA"	392555979.444153	506738030.205241	2005	NA	1.29086819903436	NA	21541.763098532	12015.2231208	"18809"	"TREGNAGO"
"8821"	0.4	"absolute"	"61163"	"TRUE"	2011	9464	41982.77733	"8821 2011 "	2018	9892	42482.63944	9892	"be"	"BEL"	108342135.196131	117369420.864825	2005	106958136.960349	1.08332202104336	1.98722566955805	45480.8671861489	25189.666398	"18582"	"Huldenberg"
"8947"	0.3	"absolute"	"27479"	"TRUE"	2007	1126	2440.27382	"8947 2007 "	NA	NA	NA	1126	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	2403.37323720653	1708.191674	"19595"	"Baltar"
"8967"	0.3	"absolute"	"27513"	"TRUE"	2007	13943	42163.31043	"8967 2007 "	NA	NA	NA	13943	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	41525.7382384624	29514.317301	"19599"	"O Barco de Valdeorras"
"8983"	0.4	"absolute"	"68851"	"TRUE"	2007	6104	7521.32848	"8983 2007 "	NA	NA	NA	6104	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	7407.5947661772	4512.797088	"19597"	"Celanova"
"8994"	0.4	"absolute"	"72657"	"TRUE"	2007	13838	47860.280170062	"8994 2007 "	NA	NA	NA	13838	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	47136.5612920984	28716.1681020372	"19600"	"O Carballiño"
"9000"	0.3	"absolute"	"72811"	"TRUE"	2012	37712	98217.029	"9000 2012 "	NA	NA	NA	37712	"by"	"BLR"	66868637.3115331	62314480.9156799	2005	NA	0.931893985297831	NA	91527.8585789227	68751.9203	"19319"	"Hlybokaje"
"9028"	0.401162790697674	"absolute"	"27326"	"TRUE"	2007	289455	1046481.567	"9028 2007 "	NA	NA	NA	289455	"fr"	"FRA"	417079903.134674	435418388.684436	2005	NA	1.04396875853268	NA	1092494.06232832	626672.101168605	"19677"	"Tour(s)plus & Tours"
"9101"	0.4	"absolute"	"30518"	"TRUE"	2010	22113	49875.2955	"9101 2010 "	NA	NA	NA	22113	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	55198.4324599553	29925.1773	"19328"	"FOLLONICA"
"9105"	0.3	"absolute"	"27484"	"TRUE"	2014	625	1341.07446	"9105 2014 "	NA	NA	NA	625	"es"	"ESP"	279917433.235307	377629623.667267	2005	NA	1.34907504438932	NA	1809.21008665389	938.752122	"19601"	"Pontedeva"
"9120"	0.3	"absolute"	"27564"	"TRUE"	2007	1136	1582.65164	"9120 2007 "	NA	NA	NA	1136	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	1558.71958475423	1107.856148	"19603"	"Porqueira"
"9129"	0.3	"absolute"	"27594"	"TRUE"	2007	1643	4225.83731	"9129 2007 "	NA	NA	NA	1643	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	4161.93634189905	2958.086117	"19610"	"Ramirás"
"9131"	0.3	"absolute"	"27603"	"TRUE"	2014	1461	3833.73745	"9131 2014 "	NA	NA	NA	1461	"es"	"ESP"	279917433.235307	377629623.667267	2005	NA	1.34907504438932	NA	5171.99952053576	2683.616215	"19969"	"Concello de La Gudiña"
"9134"	0.3	"absolute"	"27621"	"TRUE"	2007	1680	3224.44313	"9134 2007 "	NA	NA	NA	1680	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	3175.68473669747	2257.110191	"19974"	"Sarreaus"
"9138"	0.4	"absolute"	"68770"	"TRUE"	2007	1272	2640.05034	"9138 2007 "	NA	NA	NA	1272	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	2600.12883801457	1584.030204	"19608"	"Verea"
"9140"	0.3	"absolute"	"27357"	"TRUE"	2007	1724	3730.9818	"9140 2007 "	NA	NA	NA	1724	"es"	"ESP"	383427621.655129	377629623.667267	2005	NA	0.984878507284287	NA	3674.56378588884	2611.68726	"19607"	"Trasmiras"
"9155"	0.533333333333333	"absolute"	NA	NA	2011	76574	256132.08351	"9155 2011 "	NA	NA	NA	76574	"be"	"BEL"	108342135.196131	117369420.864825	2005	NA	1.08332202104336	NA	277473.5263621	119528.305638	"19073"	"Klimaatoverleg Midwest"
"9194"	0.666666666666667	"absolute"	NA	NA	2011	21770	107607.727	"9194 2011 "	2018	22300	101584.763	22300	"be"	"BEL"	108342135.196131	117369420.864825	2005	106958136.960349	1.08332202104336	1.98722566955805	116573.820293522	35869.2423333333	"19247"	"Lochristi"
"9218"	0.47	"absolute"	"28077"	"TRUE"	2007	3363	11386.4299	"9218 2007 "	NA	NA	NA	3363	"it"	"ITA"	503156824.739291	506738030.205241	2005	NA	1.0071174736978	NA	11467.4725153251	6034.807847	"18411"	"Fonzaso"
"9219"	0.4	"absolute"	"72755"	"TRUE"	2008	1012100	3887744.06961	"9219 2008 "	NA	NA	NA	1012100	"ua"	"UKR"	316202513.253404	305653820.58122	2005	NA	0.966639440769625	NA	3758046.75330324	2332646.441766	"19204"	"Odessa"
"9226"	0.45	"absolute"	"28232"	"TRUE"	2005	10616	60155.498	"9226 2005 "	NA	NA	NA	10616	"it"	"ITA"	506738030.205241	506738030.205241	2005	NA	1	NA	60155.498	33085.5239	"19412"	"Altavilla Vicentina"
"9232"	0.61	"absolute"	"68713"	"TRUE"	2008	8249	40755.65007	"9232 2008 "	NA	NA	NA	8249	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	41615.3298607418	15894.7035273	"19280"	"STRIANO"
"9243"	0.4	"absolute"	"28436"	"TRUE"	2010	31081	83747.76071	"9243 2010 "	NA	NA	NA	31081	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	92686.0696639568	50248.656426	"18910"	"Sant'Antimo"
"9251"	0.4	"absolute"	"28522"	"TRUE"	2010	21353	52311.02421	"9251 2010 "	NA	NA	NA	21353	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	57894.1238907902	31386.614526	"18970"	"POGGIOMARINO"
"9256"	0.4	"absolute"	"27388"	"TRUE"	2010	6228	14516.75728	"9256 2010 "	NA	NA	NA	6228	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	16066.1152625681	8710.054368	"19330"	"LETTERE"
"9266"	0.4	"absolute"	"27667"	"TRUE"	2010	26984	62918.03775	"9266 2010 "	NA	NA	NA	26984	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	69633.2126444503	37750.82265	"18976"	"BOSCOREALE"
"9278"	0.3	"absolute"	"73280"	"TRUE"	2005	422	3224.98388	"9278 2005 "	NA	NA	NA	422	"es"	"ESP"	377629623.667267	377629623.667267	2005	NA	1	NA	3224.98388	2257.488716	"19819"	"VILADAMAT"
"9392"	0.2786	"absolute"	"73195"	"TRUE"	2005	543	3208.80582	"9392 2005 "	NA	NA	NA	543	"es"	"ESP"	377629623.667267	377629623.667267	2005	NA	1	NA	3208.80582	2314.832518548	"18926"	"DARNIUS"
"9434"	0.4	"absolute"	"72273"	"TRUE"	2010	23496	107591.03174	"9434 2010 "	NA	NA	NA	23496	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	119074.107516762	64554.619044	"18598"	"Fucecchio"
"9453"	0.4	"per_capita"	"69135"	"TRUE"	2010	13691	67788.71521	"9453 2010 "	NA	NA	NA	14500	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	75023.7323018232	43076.6066998028	"18601"	"Montelupo Fiorentino"
"9460"	0.4	"per_capita"	"69163"	"TRUE"	2010	17488	75449.78041	"9460 2010 "	NA	NA	NA	17550	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	83502.4547990867	45430.3629756004	"18555"	"Castelfiorentino"
"9465"	0.4	"absolute"	"29271"	"TRUE"	2010	15920	72866.91787	"9465 2010 "	NA	NA	NA	15920	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	80643.9261018976	43720.150722	"18644"	"CERTALDO"
"9560"	0.327272727272727	"absolute"	"70971"	"TRUE"	2006	7325	47322.263495	"9560 2006 "	NA	NA	NA	7325	"be"	"BEL"	116542964.970968	117369420.864825	2005	NA	1.00709142670313	NA	47657.8458580012	31834.9772602727	"19208"	"Vielsalm"
"9618"	0.327272727272727	"absolute"	"69263"	"TRUE"	2006	3182	14728.1579226	"9618 2006 "	NA	NA	NA	3182	"be"	"BEL"	116542964.970968	117369420.864825	2005	NA	1.00709142670313	NA	14832.6015749803	9908.03351156727	"19334"	"Saint-Léger"
